ID, JOKE
"dDVHQfosSDurEN1ssvQvKQ","Chuck Norris can inseminate females of other species, just by burping the nephew."
"_aBqTcLoQ02EsC1mGzS_Kw","Chuck Norris was asked if he'd ever been to the Klondike. Chuck said he really didn't have any interest in lesbian Eskimo's."
"7nxDHA8eTIqj0tQPu-1m3A","Chuck Norris wants to be remembered as a humantarian...we best do what he wants."
"6BNAHCYBQxGEQih2OPtK-w","Jehovah is the Hebrew word for Chuck Norris"
"SKN-tyb3SFOmiKi3KKa_8Q","Bald people once did have hair. Until they saw Chuck Norris."
"-fGbHK03Qc2xccXbtJmoDQ","There is no \"i\" in team, because Chuck Norris gouged it out."
"Q3kJTp2LSNOenAdxdN6Oyg","Chuck Norris once peed in a semi trucks gas tank as a joke.. the semi is now known as Optimus Prime."
"MftJRITGSMmhSZiuLsNN-A","The only time Chuck Norris has ever had his butt whooped is when the doctor did it when he was born. The Dr. has been in hiding ever since."
"Dhgz3298QZmURBQ6yjyggA","Conor McGregor is Chuck Norris' illegitimate son."
"wAaxLcUASjWpjFhouNGeww","Chuck Norris died from a fight. Oh wait, its opposite day."
"YZOMWiEmS3med7RI44xIqA","At some point during his annual week long African safari hunts, Chuck Norris always finds the time to enjoy atleast one night of elephant tipping."
"uhcflvv3qfatx2ku9npdrg","Each hair in Chuck Norris's beard contributes to make the world's largest DDOS."
"bO14WGD4SBiFRp2OvOy8Yg","The only reason Chuck Norris hasn't brutally beaten George Lucas to death is because he still wars the beard."
"IfMaI_UxRqKVwgDehAKjJA","The next time you witness Chuck Norris brutally punching some asshole repeatedly in the face, if you look closely you will see little translucent '+50' numbers floating away."
"Wj4EPHv7RK6bwytiyAleqg","The only thing scarier than a black hole is a Chuck Norris."
"dnlaai4crcslvdfwo0xvrg","When Chuck Norris says \"More cowbell\", he MEANS it."
"8L-h876rRCax_JDss_Hscg","The original title for Big Hero 6 was Big Chuck Norris 6. The movie was cancelled after going into production becuase nobody would pay 13 dollars to see a 28 second-long movie."
"HoTV5-2JT4ymvEuav18leg","When Chuck Norris says he is \"Sorry\", its not for what he has done, but for what he is about to do."
"YoO_lXyFR7er7XBzHDD6cA","The world record for eating hot dogs and buns in 10 minutes is 59. Chuck Norris can eat 200, followed by 3 kegs of beer."
"KdtDgSTNRmiS1V6JV22qcA","Chuck Norris can burn a fire."
